 0.00000000e+00 0.00000000e+00 4.93000000e+00 -1.26600000e+01 1.45000000e+01 1.80000000e-01
 9.00000001e-03 0.00000000e+00 4.95000000e+00 -1.20900000e+01 1.25000000e+01 1.70000000e-01
 1.90000000e-02 0.00000000e+00 4.98000000e+00 -1.17100000e+01 1.05000000e+01 1.50000000e-01
 2.90000000e-02 0.00000000e+00 4.92000000e+00 -1.13000000e+01 8.60000000e+00 1.50000000e-01
 3.90000000e-02 0.00000000e+00 4.84000000e+00 -1.06900000e+01 6.90000000e+00 1.40000000e-01
 4.90000000e-02 0.00000000e+00 4.88000000e+00 -1.02500000e+01 5.20000000e+00 1.30000000e-01
 6.00000000e-02 0.00000000e+00 5.01000000e+00 -1.02000000e+01 3.50000000e+00 1.30000000e-01
 7.00000000e-02 0.00000000e+00 5.07000000e+00 -1.01400000e+01 1.80000000e+00 1.20000000e-01
 7.90000000e-02 0.00000000e+00 5.05000000e+00 -9.82000000e+00 1.00000000e-01 1.20000000e-01
 8.90000000e-02 0.00000000e+00 5.00000000e+00 -9.49000000e+00 -1.50000000e+00 2.20000000e-01
 1.00000000e-01 0.00000000e+00 4.95000000e+00 -9.46000000e+00 -3.00000000e+00 2.70000000e-01
 1.09000000e-01 0.00000000e+00 4.95000000e+00 -9.37000000e+00 -4.60000000e+00 2.70000000e-01
 1.19000000e-01 0.00000000e+00 4.98000000e+00 -8.99000000e+00 -6.10000000e+00 2.70000000e-01
 1.29000000e-01 0.00000000e+00 4.99000000e+00 -8.68000000e+00 -7.50000000e+00 2.70000000e-01
 1.40000000e-01 0.00000000e+00 4.97000000e+00 -8.50000000e+00 -9.00000000e+00 2.70000000e-01
 1.49000000e-01 0.00000000e+00 4.93000000e+00 -8.35000000e+00 -1.03000000e+01 3.10000000e-01
 1.60000000e-01 0.00000000e+00 4.90000000e+00 -8.20000000e+00 -1.17000000e+01 3.10000000e-01
 1.70000000e-01 1.00000000e+00 4.88000000e+00 -7.97000000e+00 -1.30000000e+01 3.50000000e-01
 1.80000000e-01 1.00000000e+00 5.13000000e+00 -8.36000000e+00 -1.44000000e+01 4.00000000e-01
 1.90000000e-01 1.00000000e+00 5.82000000e+00 -8.26000000e+00 -1.40000000e+00 4.00000000e-01
 1.99000000e-01 1.00000000e+00 6.00000000e+00 -5.37000000e+00 -2.30000000e+00 3.80000000e-01
 2.09000000e-01 1.00000000e+00 6.42000000e+00 -4.25000000e+00 -3.00000000e+00 3.60000000e-01
 2.19000000e-01 1.00000000e+00 6.82000000e+00 -1.70000000e+00 -3.30000000e+00 3.60000000e-01
 2.29000000e-01 1.00000000e+00 6.72000000e+00 1.60000000e+00 -3.00000000e+00 3.20000000e-01
 2.39000000e-01 1.00000000e+00 6.30000000e+00 4.40000000e+00 -2.30000000e+00 3.20000000e-01
 2.50000000e-01 1.00000000e+00 6.34000000e+00 6.00000000e+00 -1.30000000e+00 3.70000000e-01
